,path,source,source_id,target,target_id,is_test
10962,n04141076/ILSVRC2012_val_00014003.JPEG,sax,776,French horn,566,False
10498,n03838899/ILSVRC2012_val_00047450.JPEG,oboe,683,French horn,566,False
8036,n02804610/ILSVRC2012_val_00033949.JPEG,bassoon,432,French horn,566,False
11905,n04487394/ILSVRC2012_val_00005962.JPEG,trombone,875,French horn,566,False
4552,n02108915/ILSVRC2012_val_00003855.JPEG,French bulldog,245,German shepherd,235,False
4350,n02106550/ILSVRC2012_val_00003623.JPEG,Rottweiler,234,German shepherd,235,False
4358,n02106550/ILSVRC2012_val_00013926.JPEG,Rottweiler,234,German shepherd,235,False
4512,n02108089/ILSVRC2012_val_00013419.JPEG,boxer,242,German shepherd,235,False
13081,n07749582/ILSVRC2012_val_00030967.JPEG,lemon,951,Granny Smith,948,False
13149,n07753113/ILSVRC2012_val_00048339.JPEG,fig,952,Granny Smith,948,False
13260,n07760859/ILSVRC2012_val_00004962.JPEG,custard apple,956,Granny Smith,948,False
13231,n07753592/ILSVRC2012_val_00029919.JPEG,banana,954,Granny Smith,948,False
1317,n01744401/ILSVRC2012_val_00015523.JPEG,rock python,62,Indian cobra,63,False
1538,n01755581/ILSVRC2012_val_00038342.JPEG,diamondback,67,Indian cobra,63,False
1491,n01753488/ILSVRC2012_val_00044048.JPEG,horned viper,66,Indian cobra,63,False
1530,n01755581/ILSVRC2012_val_00030923.JPEG,diamondback,67,Indian cobra,63,False
4105,n02099601/ILSVRC2012_val_00006046.JPEG,golden retriever,207,Irish setter,213,False
4287,n02102318/ILSVRC2012_val_00034948.JPEG,cocker spaniel,219,Irish setter,213,False
4243,n02102040/ILSVRC2012_val_00040876.JPEG,English springer,217,Irish setter,213,False
4232,n02102040/ILSVRC2012_val_00027182.JPEG,English springer,217,Irish setter,213,False
4044,n02095314/ILSVRC2012_val_00045861.JPEG,wire-haired fox terrier,188,Irish terrier,184,False
4013,n02095314/ILSVRC2012_val_00019175.JPEG,wire-haired fox terrier,188,Irish terrier,184,False
4017,n02095314/ILSVRC2012_val_00024187.JPEG,wire-haired fox terrier,188,Irish terrier,184,False
4010,n02095314/ILSVRC2012_val_00012515.JPEG,wire-haired fox terrier,188,Irish terrier,184,False
3530,n02088094/ILSVRC2012_val_00035315.JPEG,Afghan hound,160,Italian greyhound,171,False
3647,n02088364/ILSVRC2012_val_00048273.JPEG,beagle,162,Italian greyhound,171,False
3591,n02088238/ILSVRC2012_val_00039556.JPEG,basset,161,Italian greyhound,171,False
3569,n02088238/ILSVRC2012_val_00020460.JPEG,basset,161,Italian greyhound,171,False
3448,n02086910/ILSVRC2012_val_00048254.JPEG,papillon,157,Japanese spaniel,152,False
3496,n02087046/ILSVRC2012_val_00044963.JPEG,toy terrier,158,Japanese spaniel,152,False
3373,n02086240/ILSVRC2012_val_00020379.JPEG,Shih-Tzu,155,Japanese spaniel,152,False
3299,n02085620/ILSVRC2012_val_00049159.JPEG,Chihuahua,151,Japanese spaniel,152,False
5201,n02123045/ILSVRC2012_val_00002823.JPEG,tabby,281,Persian cat,283,False
5562,n02130308/ILSVRC2012_val_00013656.JPEG,cheetah,293,Persian cat,283,False
5441,n02128925/ILSVRC2012_val_00041267.JPEG,jaguar,290,Persian cat,283,False
5331,n02128385/ILSVRC2012_val_00032869.JPEG,leopard,288,Persian cat,283,False
4698,n02110185/ILSVRC2012_val_00048830.JPEG,Siberian husky,250,Rottweiler,234,False
4487,n02107312/ILSVRC2012_val_00035233.JPEG,miniature pinscher,237,Rottweiler,234,False
4488,n02107312/ILSVRC2012_val_00037164.JPEG,miniature pinscher,237,Rottweiler,234,False
4511,n02108089/ILSVRC2012_val_00011921.JPEG,boxer,242,Rottweiler,234,False
3459,n02087046/ILSVRC2012_val_00009570.JPEG,toy terrier,158,Shih-Tzu,155,False
3335,n02085782/ILSVRC2012_val_00034040.JPEG,Japanese spaniel,152,Shih-Tzu,155,False
3343,n02085782/ILSVRC2012_val_00041705.JPEG,Japanese spaniel,152,Shih-Tzu,155,False
3298,n02085620/ILSVRC2012_val_00046450.JPEG,Chihuahua,151,Shih-Tzu,155,False
4427,n02106662/ILSVRC2012_val_00026629.JPEG,German shepherd,235,Siberian husky,250,False
4530,n02108089/ILSVRC2012_val_00028572.JPEG,boxer,242,Siberian husky,250,False
4604,n02109961/ILSVRC2012_val_00005446.JPEG,Eskimo dog,248,Siberian husky,250,False
4572,n02108915/ILSVRC2012_val_00021224.JPEG,French bulldog,245,Siberian husky,250,False
3864,n02093754/ILSVRC2012_val_00014225.JPEG,Border terrier,182,Yorkshire terrier,187,False
3888,n02093754/ILSVRC2012_val_00040004.JPEG,Border terrier,182,Yorkshire terrier,187,False
4057,n02097209/ILSVRC2012_val_00008453.JPEG,standard schnauzer,198,Yorkshire terrier,187,False
3880,n02093754/ILSVRC2012_val_00027805.JPEG,Border terrier,182,Yorkshire terrier,187,False
7905,n02787622/ILSVRC2012_val_00008213.JPEG,banjo,420,acoustic guitar,402,False
8466,n02992211/ILSVRC2012_val_00016738.JPEG,cello,486,acoustic guitar,402,False
12062,n04536866/ILSVRC2012_val_00011745.JPEG,violin,889,acoustic guitar,402,False
7912,n02787622/ILSVRC2012_val_00013131.JPEG,banjo,420,acoustic guitar,402,False
6302,n02281406/ILSVRC2012_val_00002379.JPEG,sulphur butterfly,325,admiral,321,False
6200,n02279972/ILSVRC2012_val_00001290.JPEG,monarch,323,admiral,321,False
6330,n02281406/ILSVRC2012_val_00037381.JPEG,sulphur butterfly,325,admiral,321,False
6260,n02280649/ILSVRC2012_val_00012269.JPEG,cabbage butterfly,324,admiral,321,False
2926,n02051845/ILSVRC2012_val_00026711.JPEG,pelican,144,albatross,146,False
2788,n02017213/ILSVRC2012_val_00039374.JPEG,European gallinule,136,albatross,146,False
2783,n02017213/ILSVRC2012_val_00034792.JPEG,European gallinule,136,albatross,146,False
2909,n02051845/ILSVRC2012_val_00014594.JPEG,pelican,144,albatross,146,False
10063,n03670208/ILSVRC2012_val_00009022.JPEG,limousine,627,ambulance,407,False
8135,n02814533/ILSVRC2012_val_00031953.JPEG,beach wagon,436,ambulance,407,False
9912,n03594945/ILSVRC2012_val_00011656.JPEG,jeep,609,ambulance,407,False
10082,n03670208/ILSVRC2012_val_00035788.JPEG,limousine,627,ambulance,407,False
11554,n04328186/ILSVRC2012_val_00004385.JPEG,stopwatch,826,analog clock,409,False
12102,n04548280/ILSVRC2012_val_00007256.JPEG,wall clock,892,analog clock,409,False
7977,n02794156/ILSVRC2012_val_00028271.JPEG,barometer,426,analog clock,409,False
10542,n03841143/ILSVRC2012_val_00041839.JPEG,odometer,685,analog clock,409,False
7565,n02640242/ILSVRC2012_val_00008731.JPEG,sturgeon,394,anemone fish,393,False
7562,n02640242/ILSVRC2012_val_00007895.JPEG,sturgeon,394,anemone fish,393,False
7640,n02641379/ILSVRC2012_val_00038033.JPEG,gar,395,anemone fish,393,False
7661,n02643566/ILSVRC2012_val_00009572.JPEG,lionfish,396,anemone fish,393,False
12749,n07718472/ILSVRC2012_val_00047851.JPEG,cucumber,943,artichoke,944,False
12717,n07718472/ILSVRC2012_val_00019290.JPEG,cucumber,943,artichoke,944,False
12869,n07730033/ILSVRC2012_val_00016921.JPEG,cardoon,946,artichoke,944,False
12555,n07716358/ILSVRC2012_val_00004951.JPEG,zucchini,939,artichoke,944,False
923,n01644373/ILSVRC2012_val_00025717.JPEG,tree frog,31,axolotl,29,False
650,n01630670/ILSVRC2012_val_00000498.JPEG,common newt,26,axolotl,29,False
940,n01644373/ILSVRC2012_val_00038959.JPEG,tree frog,31,axolotl,29,False
863,n01641577/ILSVRC2012_val_00014735.JPEG,bullfrog,30,axolotl,29,False
7207,n02492035/ILSVRC2012_val_00005761.JPEG,capuchin,378,baboon,372,False
7258,n02493793/ILSVRC2012_val_00012697.JPEG,spider monkey,381,baboon,372,False
7346,n02494079/ILSVRC2012_val_00046565.JPEG,squirrel monkey,382,baboon,372,False
7160,n02487347/ILSVRC2012_val_00014402.JPEG,macaque,373,baboon,372,False
10740,n03958227/ILSVRC2012_val_00040579.JPEG,plastic bag,728,backpack,414,False
10860,n04026417/ILSVRC2012_val_00011671.JPEG,purse,748,backpack,414,False
10863,n04026417/ILSVRC2012_val_00013221.JPEG,purse,748,backpack,414,False
10730,n03958227/ILSVRC2012_val_00031510.JPEG,plastic bag,728,backpack,414,False
12368,n07697313/ILSVRC2012_val_00021498.JPEG,cheeseburger,933,bagel,931,False
12354,n07697313/ILSVRC2012_val_00006210.JPEG,cheeseburger,933,bagel,931,False
12361,n07697313/ILSVRC2012_val_00014093.JPEG,cheeseburger,933,bagel,931,False
12410,n07697537/ILSVRC2012_val_00013208.JPEG,hotdog,934,bagel,931,False
470,n01608432/ILSVRC2012_val_00020710.JPEG,kite,21,bald eagle,22,False
493,n01608432/ILSVRC2012_val_00045746.JPEG,kite,21,bald eagle,22,False
497,n01608432/ILSVRC2012_val_00046948.JPEG,kite,21,bald eagle,22,False
454,n01608432/ILSVRC2012_val_00001218.JPEG,kite,21,bald eagle,22,False
13345,n07768694/ILSVRC2012_val_00041470.JPEG,pomegranate,957,banana,954,False
13253,n07760859/ILSVRC2012_val_00002336.JPEG,custard apple,956,banana,954,False
12978,n07745940/ILSVRC2012_val_00022484.JPEG,strawberry,949,banana,954,False
13085,n07749582/ILSVRC2012_val_00034286.JPEG,lemon,951,banana,954,False
8451,n02992211/ILSVRC2012_val_00000736.JPEG,cello,486,banjo,420,False
8490,n02992211/ILSVRC2012_val_00040560.JPEG,cello,486,banjo,420,False
9200,n03272010/ILSVRC2012_val_00000374.JPEG,electric guitar,546,banjo,420,False
7741,n02676566/ILSVRC2012_val_00041857.JPEG,acoustic guitar,402,banjo,420,False
7821,n02708093/ILSVRC2012_val_00017693.JPEG,analog clock,409,barometer,426,False
12139,n04548280/ILSVRC2012_val_00040337.JPEG,wall clock,892,barometer,426,False
7809,n02708093/ILSVRC2012_val_00006858.JPEG,analog clock,409,barometer,426,False
7804,n02708093/ILSVRC2012_val_00004360.JPEG,analog clock,409,barometer,426,False
3690,n02089973/ILSVRC2012_val_00042318.JPEG,English foxhound,167,basset,161,False
3794,n02091635/ILSVRC2012_val_00041735.JPEG,otterhound,175,basset,161,False
3524,n02088094/ILSVRC2012_val_00029861.JPEG,Afghan hound,160,basset,161,False
3775,n02091635/ILSVRC2012_val_00019639.JPEG,otterhound,175,basset,161,False
10487,n03838899/ILSVRC2012_val_00036525.JPEG,oboe,683,bassoon,432,False
9401,n03372029/ILSVRC2012_val_00001896.JPEG,flute,558,bassoon,432,False
9525,n03394916/ILSVRC2012_val_00025583.JPEG,French horn,566,bassoon,432,False
10968,n04141076/ILSVRC2012_val_00022964.JPEG,sax,776,bassoon,432,False
8241,n02869837/ILSVRC2012_val_00041433.JPEG,bonnet,452,bathing cap,433,False
9496,n03379051/ILSVRC2012_val_00045341.JPEG,football helmet,560,bathing cap,433,False
11205,n04209133/ILSVRC2012_val_00005233.JPEG,shower cap,793,bathing cap,433,False
8912,n03124170/ILSVRC2012_val_00006490.JPEG,cowboy hat,515,bathing cap,433,False
8842,n03100240/ILSVRC2012_val_00038956.JPEG,convertible,511,beach wagon,436,False
8258,n02930766/ILSVRC2012_val_00005877.JPEG,cab,468,beach wagon,436,False
10274,n03770679/ILSVRC2012_val_00024550.JPEG,minivan,656,beach wagon,436,False
9929,n03594945/ILSVRC2012_val_00022261.JPEG,jeep,609,beach wagon,436,False
3727,n02091032/ILSVRC2012_val_00026310.JPEG,Italian greyhound,171,beagle,162,False
3512,n02088094/ILSVRC2012_val_00014386.JPEG,Afghan hound,160,beagle,162,False
3734,n02091032/ILSVRC2012_val_00034184.JPEG,Italian greyhound,171,beagle,162,False
3537,n02088094/ILSVRC2012_val_00043627.JPEG,Afghan hound,160,beagle,162,False
11626,n04398044/ILSVRC2012_val_00029747.JPEG,teapot,849,beer bottle,440,False
12202,n04560804/ILSVRC2012_val_00000858.JPEG,water jug,899,beer bottle,440,False
12015,n04522168/ILSVRC2012_val_00012147.JPEG,vase,883,beer bottle,440,False
12012,n04522168/ILSVRC2012_val_00011121.JPEG,vase,883,beer bottle,440,False
12767,n07718747/ILSVRC2012_val_00011521.JPEG,artichoke,944,bell pepper,945,False
12782,n07718747/ILSVRC2012_val_00035395.JPEG,artichoke,944,bell pepper,945,False
12616,n07716906/ILSVRC2012_val_00017224.JPEG,spaghetti squash,940,bell pepper,945,False
12520,n07715103/ILSVRC2012_val_00021440.JPEG,cauliflower,938,bell pepper,945,False
6637,n02410509/ILSVRC2012_val_00040338.JPEG,bison,347,bighorn,349,False
6588,n02408429/ILSVRC2012_val_00040331.JPEG,water buffalo,346,bighorn,349,False
6795,n02417914/ILSVRC2012_val_00042511.JPEG,ibex,350,bighorn,349,False
6769,n02417914/ILSVRC2012_val_00023225.JPEG,ibex,350,bighorn,349,False
6506,n02403003/ILSVRC2012_val_00005366.JPEG,ox,345,bison,347,False
6701,n02415577/ILSVRC2012_val_00000246.JPEG,bighorn,349,bison,347,False
6861,n02423022/ILSVRC2012_val_00013750.JPEG,gazelle,353,bison,347,False
6778,n02417914/ILSVRC2012_val_00029221.JPEG,ibex,350,bison,347,False
1971,n01797886/ILSVRC2012_val_00025200.JPEG,ruffed grouse,82,black grouse,80,False
2019,n01798484/ILSVRC2012_val_00023097.JPEG,prairie chicken,83,black grouse,80,False
1948,n01796340/ILSVRC2012_val_00048825.JPEG,ptarmigan,81,black grouse,80,False
2046,n01798484/ILSVRC2012_val_00047252.JPEG,prairie chicken,83,black grouse,80,False
2870,n02037110/ILSVRC2012_val_00020025.JPEG,oystercatcher,143,black stork,128,False
2856,n02037110/ILSVRC2012_val_00005266.JPEG,oystercatcher,143,black stork,128,False
2744,n02009229/ILSVRC2012_val_00047156.JPEG,little blue heron,131,black stork,128,False
2681,n02007558/ILSVRC2012_val_00034548.JPEG,flamingo,130,black stork,128,False
3042,n02058221/ILSVRC2012_val_00040987.JPEG,albatross,146,black swan,100,False
2964,n02056570/ILSVRC2012_val_00015660.JPEG,king penguin,145,black swan,100,False
2902,n02051845/ILSVRC2012_val_00003493.JPEG,pelican,144,black swan,100,False
2966,n02056570/ILSVRC2012_val_00016262.JPEG,king penguin,145,black swan,100,False
1662,n01773797/ILSVRC2012_val_00011379.JPEG,garden spider,74,black widow,75,False
1775,n01774750/ILSVRC2012_val_00029147.JPEG,tarantula,76,black widow,75,False
1769,n01774750/ILSVRC2012_val_00023425.JPEG,tarantula,76,black widow,75,False
1642,n01770393/ILSVRC2012_val_00043159.JPEG,scorpion,71,black widow,75,False
1176,n01729977/ILSVRC2012_val_00021750.JPEG,green snake,55,boa constrictor,61,False
1367,n01748264/ILSVRC2012_val_00020161.JPEG,Indian cobra,63,boa constrictor,61,False
1117,n01728572/ILSVRC2012_val_00018775.JPEG,thunder snake,52,boa constrictor,61,False
1222,n01734418/ILSVRC2012_val_00020273.JPEG,king snake,56,boa constrictor,61,False
13551,n13052670/ILSVRC2012_val_00002537.JPEG,hen-of-the-woods,996,bolete,997,False
13391,n12985857/ILSVRC2012_val_00042183.JPEG,coral fungus,991,bolete,997,False
13566,n13052670/ILSVRC2012_val_00017080.JPEG,hen-of-the-woods,996,bolete,997,False
13433,n13037406/ILSVRC2012_val_00032838.JPEG,gyromitra,993,bolete,997,False
11315,n04259630/ILSVRC2012_val_00017596.JPEG,sombrero,808,bonnet,452,False
8947,n03124170/ILSVRC2012_val_00047208.JPEG,cowboy hat,515,bonnet,452,False
11206,n04209133/ILSVRC2012_val_00005661.JPEG,shower cap,793,bonnet,452,False
9466,n03379051/ILSVRC2012_val_00017055.JPEG,football helmet,560,bonnet,452,False
1029,n01667778/ILSVRC2012_val_00029806.JPEG,terrapin,36,box turtle,37,False
950,n01667114/ILSVRC2012_val_00000229.JPEG,mud turtle,35,box turtle,37,False
999,n01667114/ILSVRC2012_val_00049703.JPEG,mud turtle,35,box turtle,37,False
997,n01667114/ILSVRC2012_val_00049260.JPEG,mud turtle,35,box turtle,37,False
4612,n02109961/ILSVRC2012_val_00012430.JPEG,Eskimo dog,248,boxer,242,False
4440,n02106662/ILSVRC2012_val_00034224.JPEG,German shepherd,235,boxer,242,False
4446,n02106662/ILSVRC2012_val_00046761.JPEG,German shepherd,235,boxer,242,False
4360,n02106550/ILSVRC2012_val_00014320.JPEG,Rottweiler,234,boxer,242,False
12788,n07718747/ILSVRC2012_val_00039161.JPEG,artichoke,944,broccoli,937,False
12645,n07716906/ILSVRC2012_val_00042582.JPEG,spaghetti squash,940,broccoli,937,False
12666,n07717556/ILSVRC2012_val_00020363.JPEG,butternut squash,942,broccoli,937,False
12580,n07716358/ILSVRC2012_val_00024556.JPEG,zucchini,939,broccoli,937,False
5773,n02134418/ILSVRC2012_val_00028703.JPEG,sloth bear,297,brown bear,294,False
7373,n02509815/ILSVRC2012_val_00018367.JPEG,lesser panda,387,brown bear,294,False
5729,n02134084/ILSVRC2012_val_00030704.JPEG,ice bear,296,brown bear,294,False
5756,n02134418/ILSVRC2012_val_00009976.JPEG,sloth bear,297,brown bear,294,False
930,n01644373/ILSVRC2012_val_00033084.JPEG,tree frog,31,bullfrog,30,False
902,n01644373/ILSVRC2012_val_00003621.JPEG,tree frog,31,bullfrog,30,False
607,n01629819/ILSVRC2012_val_00008542.JPEG,European fire salamander,25,bullfrog,30,False
718,n01631663/ILSVRC2012_val_00012765.JPEG,eft,27,bullfrog,30,False
2097,n01855672/ILSVRC2012_val_00047073.JPEG,goose,99,bustard,138,False
2899,n02037110/ILSVRC2012_val_00049746.JPEG,oystercatcher,143,bustard,138,False
2704,n02009229/ILSVRC2012_val_00007043.JPEG,little blue heron,131,bustard,138,False
2734,n02009229/ILSVRC2012_val_00038576.JPEG,little blue heron,131,bustard,138,False
12871,n07730033/ILSVRC2012_val_00022010.JPEG,cardoon,946,butternut squash,942,False
12825,n07720875/ILSVRC2012_val_00028090.JPEG,bell pepper,945,butternut squash,942,False
12841,n07720875/ILSVRC2012_val_00043991.JPEG,bell pepper,945,butternut squash,942,False
12627,n07716906/ILSVRC2012_val_00026745.JPEG,spaghetti squash,940,butternut squash,942,False
10272,n03770679/ILSVRC2012_val_00023556.JPEG,minivan,656,cab,468,False
8130,n02814533/ILSVRC2012_val_00029094.JPEG,beach wagon,436,cab,468,False
8804,n03100240/ILSVRC2012_val_00007348.JPEG,convertible,511,cab,468,False
8808,n03100240/ILSVRC2012_val_00014010.JPEG,convertible,511,cab,468,False
6152,n02277742/ILSVRC2012_val_00004590.JPEG,ringlet,322,cabbage butterfly,324,False
6105,n02276258/ILSVRC2012_val_00006819.JPEG,admiral,321,cabbage butterfly,324,False
6138,n02276258/ILSVRC2012_val_00042337.JPEG,admiral,321,cabbage butterfly,324,False
6201,n02279972/ILSVRC2012_val_00001717.JPEG,monarch,323,cabbage butterfly,324,False
10029,n03662601/ILSVRC2012_val_00027527.JPEG,lifeboat,625,canoe,472,False
11398,n04273569/ILSVRC2012_val_00045916.JPEG,speedboat,814,canoe,472,False
9321,n03344393/ILSVRC2012_val_00017413.JPEG,fireboat,554,canoe,472,False
9324,n03344393/ILSVRC2012_val_00020283.JPEG,fireboat,554,canoe,472,False
7097,n02484975/ILSVRC2012_val_00045921.JPEG,guenon,370,capuchin,378,False
7103,n02486410/ILSVRC2012_val_00003454.JPEG,baboon,372,capuchin,378,False
7169,n02487347/ILSVRC2012_val_00024253.JPEG,macaque,373,capuchin,378,False
7345,n02494079/ILSVRC2012_val_00045893.JPEG,squirrel monkey,382,capuchin,378,False
12523,n07715103/ILSVRC2012_val_00026372.JPEG,cauliflower,938,cardoon,946,False
12554,n07716358/ILSVRC2012_val_00003681.JPEG,zucchini,939,cardoon,946,False
12843,n07720875/ILSVRC2012_val_00046235.JPEG,bell pepper,945,cardoon,946,False
12576,n07716358/ILSVRC2012_val_00020174.JPEG,zucchini,939,cardoon,946,False
9030,n03187595/ILSVRC2012_val_00028832.JPEG,dial telephone,528,cassette player,482,False
9037,n03187595/ILSVRC2012_val_00031617.JPEG,dial telephone,528,cassette player,482,False
8996,n03180011/ILSVRC2012_val_00048595.JPEG,desktop computer,527,cassette player,482,False
9821,n03492542/ILSVRC2012_val_00020209.JPEG,hard disc,592,cassette player,482,False
11895,n04483307/ILSVRC2012_val_00044985.JPEG,trimaran,871,catamaran,484,False
11084,n04147183/ILSVRC2012_val_00037184.JPEG,schooner,780,catamaran,484,False
11071,n04147183/ILSVRC2012_val_00017721.JPEG,schooner,780,catamaran,484,False
11853,n04483307/ILSVRC2012_val_00005581.JPEG,trimaran,871,catamaran,484,False
12604,n07716906/ILSVRC2012_val_00006018.JPEG,spaghetti squash,940,cauliflower,938,False
12603,n07716906/ILSVRC2012_val_00004357.JPEG,spaghetti squash,940,cauliflower,938,False
12477,n07714990/ILSVRC2012_val_00027971.JPEG,broccoli,937,cauliflower,938,False
12873,n07730033/ILSVRC2012_val_00022640.JPEG,cardoon,946,cauliflower,938,False
7946,n02787622/ILSVRC2012_val_00047837.JPEG,banjo,420,cello,486,False
9229,n03272010/ILSVRC2012_val_00022203.JPEG,electric guitar,546,cello,486,False
7928,n02787622/ILSVRC2012_val_00025772.JPEG,banjo,420,cello,486,False
7942,n02787622/ILSVRC2012_val_00046266.JPEG,banjo,420,cello,486,False
8799,n03085013/ILSVRC2012_val_00049596.JPEG,computer keyboard,508,cellular telephone,487,False
9870,n03584254/ILSVRC2012_val_00021482.JPEG,iPod,605,cellular telephone,487,False
9882,n03584254/ILSVRC2012_val_00037266.JPEG,iPod,605,cellular telephone,487,False
9885,n03584254/ILSVRC2012_val_00039654.JPEG,iPod,605,cellular telephone,487,False
12443,n07697537/ILSVRC2012_val_00044831.JPEG,hotdog,934,cheeseburger,933,False
12338,n07693725/ILSVRC2012_val_00043248.JPEG,bagel,931,cheeseburger,933,False
12330,n07693725/ILSVRC2012_val_00033678.JPEG,bagel,931,cheeseburger,933,False
12447,n07697537/ILSVRC2012_val_00049110.JPEG,hotdog,934,cheeseburger,933,False
5266,n02123394/ILSVRC2012_val_00009899.JPEG,Persian cat,283,cheetah,293,False
